BBANDS_60:Real Middle Band,high,STOCH_daily:SlowD,close,STOCH_daily:SlowK,open,BBANDS_60:Real Lower Band,EMA_60:EMA,AROON_60:Aroon Down,OBV_daily:OBV,low,AROON_60:Aroon Up,RSI_60:RSI,price_change_1m,WMA_60:WMA,price_change_1d,SMA_60:SMA,MACD_daily:MACD,volume,BBANDS_60:Real Upper Band,date,MACD_daily:MACD_Hist,price_change_1w,AD_daily:Chaikin A/D,ADX_60:ADX,volume_change_1w,MACD_daily:MACD_Signal,volume_change_1m,CCI_60:CCI,volume_change_1d,
,15.97,35.9512,14.65,55.3388,15.97,,,,-598114.0,14.4,,,45.1194539249,,-1.70716723549,,-3.6216,97123.0,,2013-12-11,-0.0168,-10.9215017065,-705353.6783,,29.4688178907,-3.6047,147.073298807,,8.85578081402,
,14.3999,50.8855,14.3999,57.3718,13.11,,,,-703838.0,12.97,,,36.1120563337,,3.54238571101,,-3.5825,105724.0,,2013-12-12,0.0178,-6.73546344072,-599629.6783,,-20.2167908895,-3.6003,164.423404336,,-5.06980439635,
,15.17,53.8013,14.91,48.6934,14.79,,,,-603474.0,14.3301,,,36.3514419852,,2.54862508384,,-3.4026,100364.0,,2013-12-13,0.1581,-13.6150234742,-561403.1708,,-32.5644653461,-3.5607,32.5256067913,,-35.1181698617,
,16.1799,53.895,15.29,55.6197,15.08,,,,-538356.0,14.53,,,38.1294964029,,-5.68999345978,,-3.2069,65118.0,,2013-12-16,0.2831,-7.65206017005,-566530.0441,,3.31091249731,-3.49,155.390214687,,-16.9139101324,
,15.42,53.671,14.42,56.6998,14.85,,,,-592460.0,14.24,,,70.8737864078,,-3.25936199723,,-3.0402,54104.0,,2013-12-17,0.3598,-1.34257975035,-604127.739,,45.8154665089,-3.4,567.782419045,,196.066834245,
,16.12,53.4108,13.95,47.9128,14.69,,,,-752644.0,13.9,,,97.8494623656,,-6.45161290323,,-2.9021,160184.0,,2013-12-18,0.3984,9.24731182796,-757096.2435,,-54.7701393398,-3.3004,151.015082655,,-21.5002746841,
,13.57,43.9183,13.05,27.1421,13.36,,,,-878388.0,12.86,,,82.6053639847,,2.91187739464,,-2.8437,125744.0,,2013-12-19,0.3654,10.8812260536,-815540.6379,,-38.3565020995,-3.2091,211.894006871,,-32.9192645375,
,13.55,30.9542,13.43,17.8076,13.2501,,,,-794038.0,13.009,,,89.3521965748,,-4.09530900968,,-2.7537,84350.0,,2013-12-20,0.3643,16.1578555473,-768610.2312,,48.9590989923,-3.118,379.675163011,,-19.7617071725,
,13.55,17.7946,12.88,8.434,13.3,,,,-861719.0,12.8,,,85.248447205,,9.62732919255,,-2.6685,67681.0,,2013-12-23,0.3596,41.6925465839,-821852.6179,,204.88320208,-3.0281,649.873672079,,-0.60135045286,
,14.29,15.3403,14.12,19.7793,13.06,,,,-794445.0,12.928,,,42.8470254958,,0.753541076487,,-2.5611,67274.0,,2013-12-24,0.3736,29.1076487252,-771372.4211,,109.719951244,-2.9347,733.846656955,,17.2696732765,
,15.1,20.9806,14.2264,34.7287,14.84,,,,-715553.0,14.01,,,51.0571894506,,7.12478209526,,-2.3615,78892.0,,2013-12-26,0.4586,28.9152561435,-818939.2307,,13.4386249556,-2.8201,314.639000152,,-8.16432591391,
23.3772,15.24,40.5889,15.24,67.2588,14.53,6.6673,23.3772,,-643102.0,14.31,,,59.842519685,19.2089,-5.05249343832,23.3772,-2.1542,72451.0,40.0871,2013-12-27,0.5327,17.7165354331,-746488.2307,,85.0478254268,-2.6869,622.097693614,-83.5594,6.98679107259,
22.9584,15.3,59.42,14.47,76.2725,15.01,6.6275,23.0809,93.3333,-720615.0,14.34,28.3333,34.5221,51.4167242571,18.9126,7.80926053905,22.9584,-1.9649,77513.0,39.2892,2013-12-30,0.5776,15.203870076,-803008.1265,,37.5446699263,-2.5425,362.714641415,-82.4555,62.097970663,
22.6185,15.8212,76.6387,15.6,86.3848,14.05,6.3976,22.7802,91.6667,-594968.0,13.91,26.6667,34.3372,38.4615384615,18.6159,16.9871794872,22.6185,-1.8285,125647.0,38.8394,2013-12-31,0.5712,0.897435897436,-706445.5932,,57.748294826,-2.3997,108.642466593,-76.0237,64.2283540395,
22.3539,18.32,82.8377,18.25,85.8557,17.26,6.3057,22.5966,90.0,-388620.0,17.18,25.0,36.9496,18.6301369863,18.4376,-0.109589041096,22.3539,-1.4399,206348.0,38.402,2014-01-02,0.7678,-1.69863013699,-525438.5757,,-15.0643572993,-2.2077,109.116153294,-48.9348,-31.6266695098,
22.1347,19.1,87.8584,18.23,91.3347,18.77,6.2133,22.4452,88.3333,-529707.0,17.98,23.3333,37.5676,30.5540318157,18.2942,0.603400987383,22.1347,-1.0552,141087.0,38.0561,2014-01-03,0.922,16.6209544707,-603540.3078,,70.0829984336,-1.9772,128.829729174,-42.5155,-36.568216774,
21.9684,19.43,88.1639,18.34,87.3011,18.5,6.0905,22.3028,86.6667,-440213.0,18.1007,21.6667,37.6614,23.9367502726,18.1619,-2.18102508179,21.9684,-0.7322,89494.0,37.8463,2014-01-06,0.996,6.87022900763,-660812.967,,212.37736608,-1.7282,277.900194426,-39.3537,49.8078083447,
21.772,17.98,85.8228,17.94,78.8326,17.6,5.9347,22.1224,85.0,-574282.0,16.8,20.0,37.0516,30.8807134894,17.9925,-7.07915273133,21.772,-0.5745,134069.0,37.6093,2014-01-07,0.923,13.3221850613,-535833.3907,,-0.791383541311,-1.4975,74.5131238392,-47.4084,-20.4775153093,
